Count_Date,State,Trips/hour,comparison,description,electorate,latitude,longitude,not known,site_id,year,Legs
2025-08-05,NT,13.0,20,"McMillans Rd & McMillans Rd Path [E], McMillans Rd [SW], Path to Old McMillans Rd [W], Sabine Rd [NW]",Darwin,-12.39561,130.862539,1,5517.0,2025,4.0
2025-07-29,NT,31.0,17,"Trower Rd [E], Rapid Creek Rd [S], Trower Rd [W], Rapid Creek Rd [N]",Darwin,-12.385471,130.864514,0,5518.0,2025,4.0
2025-08-05,NT,12.0,-9,"Trower Rd [N], Vanderlin Dr [E], Trower Rd [S], Casuarina Shops [W]",Darwin,-12.375801,130.88271,0,5519.0,2025,4.0
2025-07-29,NT,15.0,1,"Lee Point Rd [N], Vanderlin Dr [E], Lee Point Rd [S], Vanderlin Rd [W]",Darwin,-12.377512,130.890756,0,5520.0,2025,4.0
2025-07-29,NT,9.0,1,"Vanderlin Dr/Bike Path [SE], Mueller Rd [SW], Vanderlin Dr/Bike Path [NW]",Darwin,-12.390698,130.911463,0,5521.0,2025,3.0
2025-07-29,NT,8.5,-6,"Vanderlin Dr [N], McMillans Rd [SE], Vanderlin Dr [S], McMillans Rd [NW]",Darwin,-12.410151,130.922994,0,5523.0,2025,4.0
2025-07-29,NT,15.0,11,"McMillans Rd [E], Charles Eaton Dr [SE], McMillans Rd [W], Rapid Crk Cyclepath [NW]",Darwin,-12.395447,130.871723,0,5524.0,2025,4.0
2025-07-29,NT,12.0,2,"Rothdale Rd [N], McMillans Rd [E], Henry Wrigley Dr [S], McMillans Rd [W]",Darwin,-12.395413,130.878263,2,5525.0,2025,4.0
2025-07-29,NT,9.0,0,"Lee Point Rd [N], McMillans Rd [E], Marrara Dr [S], McMillans Rd [W]",Darwin,-12.39541,130.882965,1,5526.0,2025,4.0
2025-08-19,NT,10.5,-6,"Amy Johnson Ave [N], Stuart Hwy [E], Amy Johnson Ave [SW], Stuart Hwy [W]",Darwin,-12.427641,130.907681,1,5527.0,2025,4.0
2025-07-29,NT,16.5,13,"Vanderlin Dr [N], Stuart Hwy [E], Berrimah Rd [S], Stuart Hwy [W]",Darwin,-12.433465,130.923379,0,5528.0,2025,4.0
2025-07-29,NT,57.0,34,"Casuarina Foreshore Path [N], Casuarina Foreshore Path [E], Casuarina Foreshore Path [S]",Darwin,-12.371739,130.863139,1,5981.0,2025,3.0
2025-08-05,NT,15.5,-6,"Trower Rd [N], Trower Rd [S], Dripstone Rd [W]",Darwin,-12.377574,130.88217,0,6830.0,2025,3.0
2025-08-05,NT,27.5,21,"Tiger Brennan Drive north bound [N], Frances Bay Drive north bound [NE], Frances Bay Drive south bound [S], Tiger Brennan Drive south bound [SW], Dinah Beach Rd [W]",Darwin,-12.45294,130.847549,1,6949.0,2025,5.0
2025-07-29,NT,19.5,-11,"Garramilla Blvd [NE], McMinn St [SE], Garramilla Blvd [SW], McMinn St [NW]",Darwin,-12.458133,130.8427,0,7351.0,2025,4.0
2025-07-29,NT,32.5, ,"Stuart Hwy [NE], Stuart Hwy [SW], Goyder Rd Footpath & Road [W], Footpath to Wilkinson St [N]",Darwin,-12.437701,130.841304,2,8568.0,2025,4.0
